"tr";"mese";"annrif";"progind";"sesso";"eta10";"staciv4";"pnasc";"reg";"rip";"istr4";"condogg";"posiz4";"ateco3";"cond4";"ORARIO";"RAPP";"CODPROF7";"progvia";"TIPOVGG";"DEST_RE";"DEST_PR";"DEST_IE";"GGINIZ";"MMINIZ";"AAINIZ";"DURATA";"MOTVAC";"MEZZO";"ALLOG";"MOTLAV";"ORGALL";"ORGTRA";"ALPART";"IORGALL";"IORGTRA";"TIPOMARE";"TIPOCROC";"TIPOMONT";"TIPOCITTA";"TIPOCAMP";"TIPOALTRO";"W";"COEV";"TRIM";"npart";"tipo";"ESPE_CO";"ESPE_GIO";"piattall1";"piattall2";"piattall3"
3;4;2019;415;1;8;2;1;140;4;1;3;4;1;4;NA;NA;5;1;"V0419";9;51;1;18;4;2019;7;2;7;14;NA;3;1;1;NA;2;NA;NA;NA;NA;NA;NA;897.9671121;2693.9013364;2;2;NA;459;66;NA;NA;NA
3;9;2019;418;2;4;2;1;50;2;4;1;1;3;1;1;1;2;1;"V0919";18;80;1;1;9;2019;15;2;10;14;NA;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;5130.1320577;15390.396173;3;2;NA;226;15;NA;NA;NA
3;7;2019;419;1;5;3;1;70;1;3;1;1;3;1;1;2;2;1;"V0719";300;NA;2;6;7;2019;7;1;1;1;NA;2;1;1;1;1;2;2;2;1;2;2;2869.1573551;8607.4720652;3;2;1;2150;307;1;2;2
3;10;2019;434;2;4;2;2;50;2;2;3;2;2;3;NA;NA;5;1;"V1019";200;NA;2;10;10;2019;2;2;5;14;NA;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;7298.9646918;21896.894076;4;5;NA;23;12;NA;NA;NA
3;8;2019;443;1;5;2;1;70;1;4;1;1;3;1;1;2;1;1;"V0819";125;NA;2;17;8;2019;7;1;5;12;NA;2;3;1;1;NA;1;2;2;2;2;2;2164.0807968;6492.2423904;3;3;7;1108;158;2;1;2
3;8;2019;444;2;5;2;1;130;4;3;3;2;2;3;NA;NA;5;1;"V0819";8;40;1;5;8;2019;8;1;9;12;NA;2;3;1;1;NA;1;2;1;1;1;1;3569.2138124;10707.641437;3;2;7;550;69;1;2;2
3;2;2019;451;1;7;2;1;40;2;1;3;4;3;4;NA;NA;4;1;"V0219";3;13;1;8;2;2019;4;1;5;1;NA;1;3;1;2;NA;2;2;2;2;1;2;1199.3664342;3598.0993025;1;2;2;300;75;NA;NA;NA
3;3;2019;455;1;4;2;1;120;3;4;1;1;3;1;1;2;2;1;"V0319";15;61;1;29;3;2019;2;2;5;14;NA;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;3775.7126571;11327.137971;1;3;NA;102;51;NA;NA;NA
3;8;2019;467;2;1;1;1;60;2;1;NA;NA;NA;NA;NA;NA;NA;1;"V0819";6;31;1;15;8;2019;14;1;5;14;NA;3;3;1;NA;NA;1;2;2;2;2;2;1478.0290994;4434.0872981;3;4;7;145;10;NA;NA;NA
3;1;2019;479;1;7;2;2;90;3;1;3;2;3;4;NA;NA;5;1;"V0119";8;37;1;5;1;2019;2;2;5;14;NA;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;8863.6463995;26590.939198;1;2;NA;83;42;NA;NA;NA
